State,Account Length,Area Code,Phone,IntlPlan,VMail Plan,VMail Message,Day Mins,Day Calls,Day Charge,Eve Mins,Eve Calls,Eve Charge,Night Mins,Night Calls,Night Charge,Intl Mins,Intl Calls,Intl Charge,CustServ Calls,Churn
MT,95,510,394-8006,no,no,0,156.600.000,88,26.620.000,247.600.000,75,21.050.000,192.300.000,115,8.650.000,12.300.000,5,3.320.000,3,False.
IA,62,415,366-9238,no,no,0,120.700.000,70,20.520.000,307.200.000,76,26.110.000,203.000.000,99,9.140.000,13.100.000,6,3.540.000,4,False.
NY,161,415,351-7269,no,no,0,332.900.000,67,56.590.000,317.800.000,97,27.010.000,160.600.000,128,7.230.000,5.400.000,9,1.460.000,4,True.
ID,85,408,350-8884,no,yes,27,196.400.000,139,33.390.000,280.900.000,90,23.880.000,89.300.000,75,4.020.000,13.800.000,4,3.730.000,1,False.
VT,93,510,386-2923,no,no,0,190.700.000,114,32.420.000,218.200.000,111,18.550.000,129.600.000,121,5.830.000,8.100.000,3,2.190.000,3,False.
VA,76,510,356-2992,no,yes,33,189.700.000,66,32.250.000,212.800.000,65,18.090.000,165.700.000,108,7.460.000,10.000.000,5,2.700.000,1,False.
TX,73,415,373-2782,no,no,0,224.400.000,90,38.150.000,159.500.000,88,13.560.000,192.800.000,74,8.680.000,13.000.000,2,3.510.000,1,False.
FL,147,415,396-5800,no,no,0,155.100.000,117,26.370.000,239.700.000,93,20.370.000,208.800.000,133,9.400.000,10.600.000,4,2.860.000,0,False.
CO,77,408,393-7984,no,no,0,62.400.000,89,10.610.000,169.900.000,121,14.440.000,209.600.000,64,9.430.000,5.700.000,6,1.540.000,5,True.
AZ,130,415,358-1958,no,no,0,183.000.000,112,31.110.000,72.900.000,99,6.200.000,181.800.000,78,8.180.000,9.500.000,19,2.570.000,0,False.
SC,111,415,350-2565,no,no,0,110.400.000,103,18.770.000,137.300.000,102,11.670.000,189.600.000,105,8.530.000,7.700.000,6,2.080.000,2,False.
VA,132,510,343-4696,no,no,0,81.100.000,86,13.790.000,245.200.000,72,20.840.000,237.000.000,115,10.670.000,10.300.000,2,2.780.000,0,False.
NE,174,415,331-3698,no,no,0,124.300.000,76,21.130.000,277.100.000,112,23.550.000,250.700.000,115,11.280.000,15.500.000,5,4.190.000,3,False.
WY,57,408,357-3817,no,yes,39,213.000.000,115,36.210.000,191.100.000,112,16.240.000,182.700.000,115,8.220.000,9.500.000,3,2.570.000,0,False.
MT,54,408,418-6412,no,no,0,134.300.000,73,22.830.000,155.500.000,100,13.220.000,102.100.000,68,4.590.000,14.700.000,4,3.970.000,3,False.
MO,20,415,353-2630,no,no,0,190.000.000,109,32.300.000,258.200.000,84,21.950.000,181.500.000,102,8.170.000,6.300.000,6,1.700.000,0,False.
HI,49,510,410-7789,no,no,0,119.300.000,117,20.280.000,215.100.000,109,18.280.000,178.700.000,90,8.040.000,11.100.000,1,3.000.000,1,False.
IL,142,415,416-8428,no,no,0,84.800.000,95,14.420.000,136.700.000,63,11.620.000,250.500.000,148,11.270.000,14.200.000,6,3.830.000,2,False.
NH,75,510,370-3359,no,no,0,226.100.000,105,38.440.000,201.500.000,107,17.130.000,246.200.000,98,11.080.000,10.300.000,5,2.780.000,1,False.
LA,172,408,383-1121,no,no,0,212.000.000,121,36.040.000,31.200.000,115,2.650.000,293.300.000,78,13.200.000,12.600.000,10,3.400.000,3,False.
AZ,12,408,360-1596,no,no,0,249.600.000,118,42.430.000,252.400.000,119,21.450.000,280.200.000,90,12.610.000,11.800.000,3,3.190.000,1,True.
OK,57,408,395-2854,no,yes,25,176.800.000,94,30.060.000,195.000.000,75,16.580.000,213.500.000,116,9.610.000,8.300.000,4,2.240.000,0,False.
GA,72,415,362-1407,no,yes,37,220.000.000,80,37.400.000,217.300.000,102,18.470.000,152.800.000,71,6.880.000,14.700.000,6,3.970.000,3,False.
AK,36,408,341-9764,no,yes,30,146.300.000,128,24.870.000,162.500.000,80,13.810.000,129.300.000,109,5.820.000,14.500.000,6,3.920.000,0,False.
MA,78,415,353-3305,no,no,0,130.800.000,64,22.240.000,223.700.000,116,19.010.000,227.800.000,108,10.250.000,10.000.000,5,2.700.000,1,False.
AK,136,415,402-1381,yes,yes,33,203.900.000,106,34.660.000,187.600.000,99,15.950.000,101.700.000,107,4.580.000,10.500.000,6,2.840.000,3,False.
NJ,149,408,332-9891,no,no,0,140.400.000,94,23.870.000,271.800.000,92,23.100.000,188.300.000,108,8.470.000,11.100.000,9,3.000.000,1,False.
GA,98,408,372-9976,no,no,0,126.300.000,102,21.470.000,166.800.000,85,14.180.000,187.800.000,135,8.450.000,9.400.000,2,2.540.000,3,False.
MD,135,408,383-6029,yes,yes,41,173.100.000,85,29.430.000,203.900.000,107,17.330.000,122.200.000,78,5.500.000,14.600.000,15,3.940.000,0,True.
AR,34,510,353-7289,no,no,0,124.800.000,82,21.220.000,282.200.000,98,23.990.000,311.500.000,78,14.020.000,10.000.000,4,2.700.000,2,False.
ID,160,415,390-7274,no,no,0,85.800.000,77,14.590.000,165.300.000,110,14.050.000,178.500.000,92,8.030.000,9.200.000,4,2.480.000,3,False.
WI,64,510,352-1237,no,no,0,154.000.000,67,26.180.000,225.800.000,118,19.190.000,265.300.000,86,11.940.000,3.500.000,3,950.000,1,False.
OR,59,408,353-3061,no,yes,28,120.900.000,97,20.550.000,213.000.000,92,18.110.000,163.100.000,116,7.340.000,8.500.000,5,2.300.000,2,False.
MI,65,415,363-5450,no,no,0,211.300.000,120,35.920.000,162.600.000,122,13.820.000,134.700.000,118,6.060.000,13.200.000,5,3.560.000,3,False.
DE,142,408,364-1995,no,no,0,187.000.000,133,31.790.000,134.600.000,74,11.440.000,242.200.000,127,10.900.000,7.400.000,5,2.000.000,2,False.
ID,119,415,398-1294,no,no,0,159.100.000,114,27.050.000,231.300.000,117,19.660.000,143.200.000,91,6.440.000,8.800.000,3,2.380.000,5,True.
WY,97,415,405-7146,no,yes,24,133.200.000,135,22.640.000,217.200.000,58,18.460.000,70.600.000,79,3.180.000,11.000.000,3,2.970.000,1,False.
IA,52,408,413-4957,no,no,0,191.900.000,108,32.620.000,269.800.000,96,22.930.000,236.800.000,87,10.660.000,7.800.000,5,2.110.000,3,False.
IN,60,408,420-5645,no,no,0,220.600.000,57,37.500.000,211.100.000,115,17.940.000,249.000.000,129,11.210.000,6.800.000,3,1.840.000,1,False.
VA,10,408,349-4396,no,no,0,186.100.000,112,31.640.000,190.200.000,66,16.170.000,282.800.000,57,12.730.000,11.400.000,6,3.080.000,2,False.
UT,96,415,404-3211,no,no,0,160.200.000,117,27.230.000,267.500.000,67,22.740.000,228.500.000,68,10.280.000,9.300.000,5,2.510.000,2,False.
WY,87,415,353-3759,no,no,0,151.000.000,83,25.670.000,219.700.000,116,18.670.000,203.900.000,127,9.180.000,9.700.000,3,2.620.000,5,True.
IN,81,408,363-5947,no,no,0,175.500.000,67,29.840.000,249.300.000,85,21.190.000,270.200.000,98,12.160.000,10.200.000,3,2.750.000,1,False.
CO,141,415,340-5121,no,no,0,126.900.000,98,21.570.000,180.000.000,62,15.300.000,140.800.000,128,6.340.000,8.000.000,2,2.160.000,1,False.
CO,121,408,370-7574,no,yes,30,198.400.000,129,33.730.000,75.300.000,77,6.400.000,181.200.000,77,8.150.000,5.800.000,3,1.570.000,3,True.
WI,68,415,403-9733,no,no,0,148.800.000,70,25.300.000,246.500.000,164,20.950.000,129.800.000,103,5.840.000,12.100.000,3,3.270.000,3,False.
OK,125,408,355-7251,no,no,0,229.300.000,103,38.980.000,177.400.000,126,15.080.000,189.300.000,95,8.520.000,12.000.000,8,3.240.000,1,False.
ID,174,408,359-5893,no,no,0,192.100.000,97,32.660.000,169.900.000,94,14.440.000,166.600.000,54,7.500.000,11.400.000,4,3.080.000,1,False.
CA,116,415,405-3371,no,yes,34,268.600.000,83,45.660.000,178.200.000,142,15.150.000,166.300.000,106,7.480.000,11.600.000,3,3.130.000,2,False.
MN,74,510,344-5117,no,yes,33,193.700.000,91,32.930.000,246.100.000,96,20.920.000,138.000.000,92,6.210.000,14.600.000,3,3.940.000,2,False.
SD,149,408,332-8160,no,yes,28,180.700.000,92,30.720.000,187.800.000,64,15.960.000,265.500.000,53,11.950.000,12.600.000,3,3.400.000,3,False.
NC,38,408,359-4081,no,no,0,131.200.000,98,22.300.000,162.900.000,97,13.850.000,159.000.000,106,7.150.000,8.200.000,6,2.210.000,2,False.
WA,40,415,352-8305,no,yes,41,148.100.000,74,25.180.000,169.500.000,88,14.410.000,214.100.000,102,9.630.000,6.200.000,5,1.670.000,2,False.
WY,43,415,329-9847,yes,no,0,251.500.000,105,42.760.000,212.800.000,104,18.090.000,157.800.000,67,7.100.000,9.300.000,4,2.510.000,0,False.
MN,113,408,365-9011,yes,no,0,125.200.000,93,21.280.000,206.400.000,119,17.540.000,129.300.000,139,5.820.000,8.300.000,8,2.240.000,0,False.
UT,126,408,338-9472,no,no,0,211.600.000,70,35.970.000,216.900.000,80,18.440.000,153.500.000,60,6.910.000,7.800.000,1,2.110.000,1,False.
TX,150,510,374-8042,no,no,0,178.900.000,101,30.410.000,169.100.000,110,14.370.000,148.600.000,100,6.690.000,13.800.000,3,3.730.000,4,True.
NJ,138,408,359-1231,no,no,0,241.800.000,93,41.110.000,170.500.000,83,14.490.000,295.300.000,104,13.290.000,11.800.000,7,3.190.000,3,False.
MN,162,510,413-7170,no,yes,46,224.900.000,97,38.230.000,188.200.000,84,16.000.000,254.600.000,61,11.460.000,12.100.000,2,3.270.000,0,False.
NM,147,510,415-2935,no,no,0,248.600.000,83,42.260.000,148.900.000,85,12.660.000,172.500.000,109,7.760.000,8.000.000,4,2.160.000,3,False.
NV,90,415,399-4246,no,no,0,203.400.000,146,34.580.000,226.700.000,117,19.270.000,152.400.000,105,6.860.000,7.300.000,4,1.970.000,1,False.
HI,85,415,362-5889,no,no,0,235.800.000,109,40.090.000,157.200.000,94,13.360.000,188.200.000,99,8.470.000,12.000.000,3,3.240.000,0,False.
MN,50,415,350-8921,no,no,0,157.100.000,90,26.710.000,223.300.000,72,18.980.000,181.400.000,111,8.160.000,6.100.000,2,1.650.000,1,False.
DC,82,415,374-5353,no,no,0,300.300.000,109,51.050.000,181.000.000,100,15.390.000,270.100.000,73,12.150.000,11.700.000,4,3.160.000,0,True.
NY,144,408,360-1171,no,no,0,61.600.000,117,10.470.000,77.100.000,85,6.550.000,173.000.000,99,7.790.000,8.200.000,7,2.210.000,4,True.
MN,46,415,355-8887,no,no,0,214.100.000,72,36.400.000,164.400.000,104,13.970.000,177.500.000,113,7.990.000,8.200.000,3,2.210.000,2,False.
MD,70,408,333-1967,no,no,0,170.200.000,98,28.930.000,155.200.000,102,13.190.000,228.600.000,76,10.290.000,15.000.000,2,4.050.000,1,False.
WV,144,415,354-4577,no,no,0,201.100.000,99,34.190.000,303.500.000,74,25.800.000,224.000.000,119,10.080.000,13.200.000,2,3.560.000,1,False.
OR,116,415,331-7425,yes,no,0,215.400.000,104,36.620.000,204.800.000,79,17.410.000,278.500.000,109,12.530.000,12.600.000,5,3.400.000,3,False.
CO,55,408,419-2637,no,yes,25,165.600.000,123,28.150.000,136.100.000,95,11.570.000,175.700.000,90,7.910.000,11.000.000,2,2.970.000,3,False.
GA,70,415,411-1530,no,yes,24,249.500.000,101,42.420.000,259.700.000,98,22.070.000,222.700.000,68,10.020.000,9.800.000,4,2.650.000,1,False.
TX,106,510,395-3026,no,no,0,210.600.000,96,35.800.000,249.200.000,85,21.180.000,191.400.000,88,8.610.000,12.400.000,1,3.350.000,2,True.
VT,128,510,388-6441,no,yes,29,179.300.000,104,30.480.000,225.900.000,86,19.200.000,323.000.000,78,14.540.000,8.600.000,7,2.320.000,0,False.
IN,94,408,402-1251,no,no,0,157.900.000,105,26.840.000,155.000.000,101,13.180.000,189.600.000,84,8.530.000,8.000.000,5,2.160.000,4,True.
WV,111,510,412-9997,no,no,0,214.300.000,118,36.430.000,208.500.000,76,17.720.000,182.400.000,98,8.210.000,12.000.000,2,3.240.000,1,False.
KY,74,415,346-7302,no,yes,35,154.100.000,104,26.200.000,123.400.000,84,10.490.000,202.100.000,57,9.090.000,10.900.000,9,2.940.000,2,False.
NJ,128,415,358-9095,no,no,0,237.900.000,125,40.440.000,247.600.000,93,21.050.000,208.900.000,68,9.400.000,13.900.000,4,3.750.000,1,True.
DC,82,510,400-9770,no,no,0,143.900.000,61,24.460.000,194.900.000,105,16.570.000,109.600.000,94,4.930.000,11.100.000,2,3.000.000,1,False.
LA,155,415,334-1275,no,no,0,203.400.000,100,34.580.000,190.900.000,104,16.230.000,196.000.000,119,8.820.000,8.900.000,4,2.400.000,0,True.
AR,80,415,340-4953,no,no,0,124.300.000,100,21.130.000,173.000.000,107,14.710.000,253.200.000,62,11.390.000,7.900.000,9,2.130.000,1,False.
ME,78,415,400-9510,no,no,0,252.900.000,93,42.990.000,178.400.000,112,15.160.000,263.900.000,105,11.880.000,9.500.000,7,2.570.000,3,False.
AZ,90,415,387-6103,no,no,0,179.100.000,71,30.450.000,190.600.000,81,16.200.000,127.700.000,91,5.750.000,10.600.000,7,2.860.000,3,False.
AK,104,408,366-4467,no,no,0,278.400.000,106,47.330.000,81.000.000,113,6.890.000,163.200.000,137,7.340.000,9.800.000,5,2.650.000,1,False.
MT,73,415,370-3450,no,no,0,160.100.000,110,27.220.000,213.300.000,72,18.130.000,174.100.000,72,7.830.000,13.000.000,4,3.510.000,0,False.
AZ,99,415,327-3954,no,no,0,198.200.000,87,33.690.000,207.300.000,76,17.620.000,190.900.000,113,8.590.000,8.700.000,3,2.350.000,4,False.
MS,120,408,355-6291,no,no,0,212.100.000,131,36.060.000,209.400.000,104,17.800.000,167.200.000,96,7.520.000,5.300.000,5,1.430.000,1,True.
ID,77,415,362-9748,no,no,0,251.800.000,72,42.810.000,205.700.000,126,17.480.000,275.200.000,109,12.380.000,9.800.000,7,2.650.000,2,True.
IA,98,510,379-6506,no,yes,21,161.200.000,114,27.400.000,252.200.000,83,21.440.000,160.200.000,92,7.210.000,4.400.000,8,1.190.000,4,False.
MA,108,415,347-7741,no,no,0,178.300.000,137,30.310.000,189.000.000,76,16.070.000,129.100.000,102,5.810.000,14.600.000,5,3.940.000,0,False.
VT,135,415,354-3783,no,no,0,151.700.000,82,25.790.000,119.000.000,105,10.120.000,180.000.000,100,8.100.000,10.500.000,6,2.840.000,0,False.
KY,95,408,401-7594,no,no,0,135.000.000,99,22.950.000,183.600.000,106,15.610.000,245.300.000,102,11.040.000,12.500.000,9,3.380.000,1,False.
IN,122,408,397-4976,no,no,0,170.500.000,94,28.990.000,173.700.000,109,14.760.000,248.600.000,75,11.190.000,11.300.000,2,3.050.000,1,False.
AZ,95,408,334-2577,no,no,0,238.100.000,65,40.480.000,187.200.000,98,15.910.000,190.000.000,115,8.550.000,11.800.000,4,3.190.000,4,False.
MI,36,510,400-3637,no,yes,29,281.400.000,102,47.840.000,202.200.000,76,17.190.000,187.200.000,113,8.420.000,9.000.000,6,2.430.000,2,False.
NM,93,510,383-4361,no,yes,21,117.900.000,131,20.040.000,164.500.000,115,13.980.000,217.000.000,86,9.760.000,9.800.000,3,2.650.000,1,False.
CO,141,415,371-4306,no,yes,32,148.600.000,91,25.260.000,131.100.000,97,11.140.000,219.400.000,142,9.870.000,10.100.000,1,2.730.000,1,False.
UT,157,408,403-4298,no,no,0,229.800.000,90,39.070.000,147.900.000,121,12.570.000,241.400.000,108,10.860.000,9.600.000,7,2.590.000,3,False.
MI,120,408,409-3786,no,no,0,165.000.000,100,28.050.000,317.200.000,83,26.960.000,119.200.000,86,5.360.000,8.300.000,8,2.240.000,1,False.
MA,103,415,337-4697,no,no,0,185.000.000,117,31.450.000,223.300.000,94,18.980.000,222.800.000,91,10.030.000,12.600.000,2,3.400.000,2,False.
AL,98,408,383-1509,no,no,0,161.000.000,117,27.370.000,190.900.000,113,16.230.000,227.700.000,113,10.250.000,12.100.000,4,3.270.000,4,False.
DE,125,408,359-9794,no,no,0,126.700.000,108,21.540.000,206.000.000,90,17.510.000,247.800.000,114,11.150.000,13.300.000,7,3.590.000,1,False.
AZ,63,415,407-7035,no,no,0,58.900.000,125,10.010.000,169.600.000,59,14.420.000,211.400.000,88,9.510.000,9.400.000,3,2.540.000,1,False.
ME,36,510,363-1069,yes,yes,42,196.800.000,89,33.460.000,254.900.000,122,21.670.000,138.300.000,126,6.220.000,20.000.000,6,5.400.000,0,True.
NJ,64,510,391-4652,no,no,0,162.600.000,83,27.640.000,152.300.000,109,12.950.000,57.500.000,122,2.590.000,14.200.000,3,3.830.000,1,False.
NV,74,415,355-6837,no,no,0,282.500.000,114,48.030.000,219.900.000,48,18.690.000,170.000.000,115,7.650.000,9.400.000,4,2.540.000,1,True.
MO,112,510,409-1244,no,yes,36,113.700.000,117,19.330.000,157.500.000,82,13.390.000,177.600.000,118,7.990.000,10.000.000,3,2.700.000,2,False.
ID,97,408,328-3266,no,no,0,239.800.000,125,40.770.000,214.800.000,111,18.260.000,143.300.000,81,6.450.000,8.700.000,5,2.350.000,2,False.
NE,46,408,352-7072,no,no,0,210.200.000,92,35.730.000,227.300.000,77,19.320.000,200.100.000,116,9.000.000,13.100.000,7,3.540.000,1,False.
TX,41,408,370-7550,no,yes,22,213.800.000,102,36.350.000,141.800.000,86,12.050.000,142.200.000,123,6.400.000,7.200.000,3,1.940.000,0,False.
MD,121,510,369-5526,no,no,0,190.700.000,103,32.420.000,183.500.000,117,15.600.000,220.800.000,103,9.940.000,9.800.000,4,2.650.000,3,False.
MS,193,415,329-4391,no,no,0,170.900.000,124,29.050.000,132.300.000,95,11.250.000,112.900.000,89,5.080.000,11.600.000,3,3.130.000,1,False.
NV,130,510,408-4195,no,no,0,154.200.000,119,26.210.000,110.200.000,98,9.370.000,227.400.000,117,10.230.000,9.200.000,5,2.480.000,2,False.
AZ,85,408,354-4445,no,no,0,201.400.000,52,34.240.000,229.400.000,104,19.500.000,252.500.000,106,11.360.000,12.000.000,3,3.240.000,1,False.
MS,162,415,335-4858,no,no,0,70.700.000,108,12.020.000,157.500.000,87,13.390.000,154.800.000,82,6.970.000,9.100.000,3,2.460.000,4,True.
MS,61,510,414-8718,no,yes,27,187.500.000,124,31.880.000,146.600.000,103,12.460.000,225.700.000,129,10.160.000,6.400.000,6,1.730.000,4,True.
TX,92,408,409-5939,no,no,0,91.700.000,90,15.590.000,193.700.000,123,16.460.000,175.000.000,86,7.880.000,9.200.000,4,2.480.000,2,False.
NE,131,408,331-4902,no,yes,36,214.200.000,115,36.410.000,161.700.000,117,13.740.000,264.700.000,102,11.910.000,9.500.000,4,2.570.000,3,False.
NE,90,415,353-6870,no,no,0,145.500.000,92,24.740.000,217.700.000,114,18.500.000,146.900.000,123,6.610.000,10.900.000,2,2.940.000,3,False.
CA,75,408,355-2909,no,no,0,166.300.000,125,28.270.000,158.200.000,86,13.450.000,256.700.000,80,11.550.000,6.100.000,5,1.650.000,1,False.
NJ,78,415,390-6101,no,no,0,231.000.000,115,39.270.000,230.400.000,140,19.580.000,261.400.000,120,11.760.000,9.500.000,3,2.570.000,1,False.
TX,82,408,400-3446,no,no,0,200.300.000,96,34.050.000,201.200.000,102,17.100.000,206.100.000,60,9.270.000,7.100.000,1,1.920.000,4,False.
AR,163,408,411-5859,no,no,0,197.000.000,109,33.490.000,202.600.000,128,17.220.000,206.400.000,80,9.290.000,9.100.000,10,2.460.000,1,False.
AL,91,510,387-2919,yes,no,0,129.900.000,112,22.080.000,173.300.000,83,14.730.000,247.200.000,130,11.120.000,11.200.000,3,3.020.000,3,False.
NY,75,415,374-8525,no,yes,21,175.800.000,97,29.890.000,217.500.000,106,18.490.000,237.500.000,134,10.690.000,5.300.000,4,1.430.000,5,False.
FL,91,510,379-5592,no,no,0,203.100.000,106,34.530.000,210.100.000,113,17.860.000,195.600.000,129,8.800.000,12.000.000,3,3.240.000,3,False.
AK,127,510,345-8237,no,yes,36,183.200.000,117,31.140.000,126.800.000,76,10.780.000,263.300.000,71,11.850.000,11.200.000,8,3.020.000,1,False.
NV,113,415,422-6690,no,yes,23,205.000.000,101,34.850.000,152.000.000,60,12.920.000,158.600.000,59,7.140.000,10.200.000,5,2.750.000,2,False.
DE,110,510,346-2359,no,no,0,148.500.000,115,25.250.000,276.400.000,84,23.490.000,193.600.000,112,8.710.000,12.400.000,3,3.350.000,1,False.
MD,120,415,374-3534,no,yes,39,200.300.000,68,34.050.000,220.400.000,97,18.730.000,253.800.000,116,11.420.000,10.500.000,4,2.840.000,0,False.
MI,157,415,381-4756,no,yes,28,192.600.000,107,32.740.000,195.500.000,74,16.620.000,109.700.000,139,4.940.000,6.800.000,5,1.840.000,3,False.
VT,103,510,390-2805,no,no,0,246.500.000,47,41.910.000,195.500.000,84,16.620.000,200.500.000,96,9.020.000,11.700.000,4,3.160.000,1,False.
VT,117,408,390-2390,yes,no,0,167.100.000,86,28.410.000,177.500.000,87,15.090.000,249.400.000,132,11.220.000,14.100.000,7,3.810.000,2,True.
MI,140,415,419-9097,no,no,0,231.900.000,101,39.420.000,160.100.000,94,13.610.000,110.400.000,98,4.970.000,14.300.000,6,3.860.000,3,False.
WA,127,408,386-7281,no,no,0,146.700.000,91,24.940.000,203.500.000,78,17.300.000,203.400.000,110,9.150.000,13.700.000,3,3.700.000,1,False.
UT,83,408,380-3561,yes,no,0,271.500.000,87,46.160.000,216.300.000,126,18.390.000,121.100.000,105,5.450.000,11.700.000,4,3.160.000,1,False.
LA,121,408,390-8760,no,no,0,181.500.000,121,30.860.000,218.400.000,98,18.560.000,161.600.000,103,7.270.000,8.500.000,5,2.300.000,1,False.
RI,145,408,366-6730,no,yes,43,257.700.000,97,43.810.000,162.100.000,95,13.780.000,286.900.000,86,12.910.000,11.100.000,4,3.000.000,2,False.
IA,113,408,395-5285,no,no,0,193.800.000,99,32.950.000,221.400.000,125,18.820.000,172.300.000,67,7.750.000,10.600.000,6,2.860.000,1,False.
NE,117,415,354-3436,no,no,0,102.800.000,119,17.480.000,206.700.000,91,17.570.000,299.000.000,105,13.460.000,10.100.000,7,2.730.000,1,False.
OH,65,408,336-7600,no,no,0,187.900.000,116,31.940.000,157.600.000,117,13.400.000,227.300.000,86,10.230.000,7.500.000,6,2.030.000,1,False.
RI,56,415,383-6293,no,no,0,226.000.000,112,38.420.000,248.500.000,118,21.120.000,140.500.000,142,6.320.000,6.900.000,11,1.860.000,1,False.
OK,96,415,362-4596,no,no,0,260.400.000,115,44.270.000,146.000.000,46,12.410.000,269.500.000,87,12.130.000,11.500.000,4,3.110.000,5,False.
LA,151,408,401-3926,no,no,0,178.700.000,116,30.380.000,292.100.000,138,24.830.000,265.900.000,101,11.970.000,9.800.000,4,2.650.000,0,False.
OH,83,415,370-9116,no,no,0,337.400.000,120,57.360.000,227.400.000,116,19.330.000,153.900.000,114,6.930.000,15.800.000,7,4.270.000,0,True.
VA,139,510,328-6289,no,yes,23,157.600.000,129,26.790.000,247.000.000,96,21.000.000,259.200.000,112,11.660.000,13.700.000,2,3.700.000,0,False.
MO,6,510,350-9994,no,no,0,183.600.000,117,31.210.000,256.700.000,72,21.820.000,178.600.000,79,8.040.000,10.200.000,2,2.750.000,1,False.
FL,115,510,351-4616,no,yes,24,142.100.000,124,24.160.000,183.400.000,129,15.590.000,164.800.000,114,7.420.000,9.600.000,4,2.590.000,1,False.
SC,87,415,360-5779,no,no,0,136.300.000,97,23.170.000,172.200.000,108,14.640.000,137.500.000,101,6.190.000,7.100.000,5,1.920.000,0,False.
VA,141,415,417-4885,no,no,0,217.100.000,110,36.910.000,241.500.000,111,20.530.000,253.500.000,103,11.410.000,12.000.000,6,3.240.000,0,False.
IA,141,510,406-4710,no,yes,36,187.500.000,99,31.880.000,241.400.000,116,20.520.000,229.500.000,105,10.330.000,10.500.000,5,2.840.000,3,False.
MI,62,415,409-8743,no,no,0,98.900.000,103,16.810.000,135.400.000,122,11.510.000,236.600.000,82,10.650.000,12.200.000,1,3.290.000,1,False.
OK,146,415,335-4584,no,no,0,206.300.000,151,35.070.000,148.600.000,89,12.630.000,167.200.000,91,7.520.000,6.100.000,3,1.650.000,1,False.
DE,92,415,361-9845,no,yes,33,243.100.000,92,41.330.000,213.800.000,92,18.170.000,228.700.000,104,10.290.000,12.100.000,2,3.270.000,2,False.
GA,185,510,366-5699,no,yes,31,189.800.000,126,32.270.000,163.300.000,133,13.880.000,264.800.000,126,11.920.000,7.500.000,3,2.030.000,1,False.
DC,148,415,329-9364,no,no,0,202.000.000,102,34.340.000,243.200.000,128,20.670.000,261.300.000,90,11.760.000,10.900.000,3,2.940.000,1,False.
AZ,94,408,390-7434,no,yes,38,170.100.000,124,28.920.000,193.300.000,116,16.430.000,105.900.000,73,4.770.000,12.800.000,4,3.460.000,1,False.
AL,32,510,404-9680,no,no,0,230.900.000,87,39.250.000,187.400.000,90,15.930.000,154.000.000,53,6.930.000,6.300.000,2,1.700.000,0,False.
CO,68,408,338-9398,no,no,0,237.100.000,105,40.310.000,223.500.000,105,19.000.000,97.400.000,79,4.380.000,13.200.000,2,3.560.000,1,False.
NH,64,408,394-2445,no,yes,27,182.100.000,91,30.960.000,169.700.000,98,14.420.000,164.700.000,86,7.410.000,10.600.000,5,2.860.000,2,False.
NM,25,415,381-2709,no,no,0,119.300.000,87,20.280.000,211.500.000,101,17.980.000,268.900.000,86,12.100.000,10.500.000,4,2.840.000,3,False.
